"Time"	"Austria"	"Belgium"	"Denmark"	"Finland"	"France"	"Germany"	"Greece"	"Ireland"	"Italy"	"Luxembourg"	"Netherlands"	"Portugal"	"Spain"	"Sweden"	"UK"	"EU"
01/07/95	106.3	110.94	97.24	103.84	104.77	102.38	122.77	98.28	120.64	119.15	92.24	113.76	110.95	103.41	104.19	104.73
01/14/95	104.43	110.33	97.24	107.25	105.3	103.51	121.79	96.56	118.59	118.8	90.36	113.08	109.77	95.16	103.66	104.2
01/21/95	109.99	114.39	97.24	107.4	108.7	107.62	121.79	95.83	116.89	119.05	94.62	118.04	118	94.4	103.42	107.63
01/28/95	112.1	118.75	99.49	108.91	112.19	112.11	123.51	95.67	116.83	119.76	102.05	117.78	119.86	96.34	104.7	110.86
02/04/95	137.55	145.84	122.71	139.89	136.33	138.35	150.62	116.51	145.12	147.43	124.4	141.9	146.24	119.44	129.78	136.03
02/11/95	139.52	144.86	125.04	131.97	133.75	138.93	151.31	119.95	146.11	148.59	126.04	141.9	146.13	119.43	132.43	136.59
02/18/95	135.87	144.86	127.62	131.63	131.51	141.01	150.59	121.82	143.9	153.73	122.81	141.59	145.94	122.01	132.18	136.39
02/25/95	133.98	144.86	127.62	132.99	133.02	141.64	151.28	122.74	139.64	151.77	122.49	136.86	141.35	124.94	130.11	135.45
03/04/95	133.25	142.53	130.2	133.33	137.21	140.37	151.54	124.8	138.85	154.16	118.26	132.13	138.25	124.89	131.67	134.7
03/11/95	136.96	144.37	132.66	134.18	142.7	142.79	151.49	127.12	134.93	152.57	124.09	136.86	141.84	123.74	135.36	137.63
03/18/95	136.96	144.49	135.37	133.84	141.22	142.99	150.75	127.84	136.7	152.57	124.36	146.32	150.31	122.84	137.36	139.55
03/25/95	140.24	141.92	135.37	133.84	137.91	138.18	150.98	130.11	139.66	152.57	117.67	146.32	147.51	122.07	137.58	137.08
04/01/95	137.11	137.63	135.37	133.67	134.55	133.21	150.42	130.42	136.12	151.35	111.52	136.86	136.98	121.85	136.84	132.4
04/08/95	136.53	136.9	131.88	134.01	131.99	130.24	151.34	131.83	133.45	152.69	112.98	136.54	137.26	119.94	135.91	131.04
04/15/95	130.44	136.81	131.71	133.52	127.89	130.11	150.2	131.27	132.74	150.13	110.84	136.54	135.72	116.69	135.15	131.04
04/22/95	129.02	137.63	127.62	134.86	125.5	132.22	150.5	130.74	133.14	147.18	111.07	136.54	137.64	116.05	134.21	129.78
04/29/95	129.6	137.63	127.62	135.37	124.6	132.73	150.09	129.96	134.04	145.77	111.07	136.7	137.6	115.83	135.46	129.94
05/06/95	126.59	134.25	127.49	135.27	124.6	130.91	150.08	128.95	134.47	144.31	108.53	143.82	139.68	109.1	135.77	129.38
05/13/95	126.47	135.06	124.26	134.86	124.64	133.04	150.38	129.08	131.32	143.45	114.84	155.15	148.43	107.28	135.63	131.62
05/20/95	125.96	135.18	124.26	135.88	126.03	131.7	150.96	129.72	128.9	144.31	114.94	157.04	148.05	107.07	134.89	131.27
05/27/95	126.54	135.18	124.26	135.54	130.78	131.8	151.24	131.27	125.42	144.37	115.03	156.72	148.16	106.07	137.79	131.8
06/03/95	128.36	140.08	124.26	137.42	137.48	138.22	151.24	132.4	124.92	144.92	122.45	161.77	155.44	107.07	140.26	136.6
06/10/95	131.57	140.33	127.23	138.61	140.12	137.15	152.64	133.5	124.91	145.41	120.03	161.77	156.11	106.97	140.95	136.94
06/17/95	135	139.84	127.23	139.12	137.88	135.7	155.56	133.34	126.29	148.41	122.04	162.08	152.94	107.07	140.93	136.36
06/24/95	138.86	141.9	126.46	139.63	134.94	138.29	156.14	131.72	127.87	150.43	122.08	157.98	150.76	106.07	141.44	136.48
07/01/95	144.99	146.24	124	140.14	138.33	137.36	156.14	130.99	129.4	154.02	119.93	157.98	150.79	106.57	140.25	136.65
07/08/95	159.75	141.31	131.11	148.98	149.42	148.99	158.84	133.9	133.63	162.05	129.51	159.88	150.83	130.77	142.85	143.54
07/15/95	159.83	141.18	131.11	149.15	146.92	150.97	158.99	136.62	134	162.05	126.66	167.57	150.61	130.77	142.3	143.48
07/22/95	159.29	140.93	129.04	149.15	145.85	146.62	160.98	136.43	133.75	161.17	127.17	165.17	145.25	131.27	141.38	141.11
07/29/95	152.29	139.66	133.2	149.32	143.08	148.76	160.98	136.7	132.65	161.17	126.38	160.13	142.23	123.51	139.94	140.56
